iter	Passed	Remaining
565	3184	2442
566	3185	2433
567	3187	2423
568	3188	2414
569	3188	2405
570	3189	2396
571	3215	2406
572	3216	2396
573	3217	2387
574	3218	2378
575	3219	2369
576	3219	2360
577	3220	2351
578	3221	2342
579	3222	2333
580	3263	2353
581	3264	2344
582	3265	2335
583	3266	2326
584	3275	2323
585	3276	2314
586	3276	2305
587	3277	2296
588	3278	2287
589	3279	2278
590	3280	2269
591	3280	2261
592	3281	2252
593	3298	2254
594	3299	2245
595	3300	2237
596	3301	2228
597	3314	2227
598	3314	2219
599	3315	2210
600	3316	2201
601	3325	2198
602	3326	2189
603	3327	2181
604	3327	2172
605	3328	2164
606	3333	2158
607	3334	2149
608	3335	2141
609	3336	2133
610	3337	2124
611	3337	2116
612	3338	2107
613	3342	2101
614	3343	2093
615	3344	2084
616	3345	2076
617	3347	2069
618	3348	2061
619	3349	2053
620	3350	2044
621	3351	2036
622	3352	2028
623	3352	2020
624	3353	2012
625	3433	2051
626	3434	2042
627	3435	2034
628	3435	2026
629	3462	2033
630	3462	2025
631	3463	2016
632	3464	2008
633	3465	2000
634	3466	1992
635	3467	1984
636	3476	1981
637	3477	1972
638	3477	1964
639	3478	1956
640	3482	1950
641	3483	1942
642	3484	1934
643	3485	1926
644	3548	1953
645	3549	1945
646	3550	1937
647	3551	1928
648	3556	1923
649	3562	1918
650	3574	1916
651	3575	1908
652	3576	1900
653	3577	1892
654	3578	1884
655	3737	1959
656	3738	1951
657	3739	1943
658	3740	1935
659	3741	1927
660	3741	1919
661	3742	1910
662	3743	1902
663	3744	1894
664	3745	1886
665	3746	1878
666	3747	1870
667	3756	1866
668	3757	1858
669	3758	1851
670	3758	1843
671	3764	1837
672	3765	1829
673	3766	1821
674	3767	1813
675	3767	1805
676	3794	1810
677	3795	1802
678	3800	1796
679	3817	1796
680	3818	1788
681	3819	1780
682	3845	1784
683	3845	1776
684	3846	1768
685	3847	1761
686	3848	1753
687	3849	1745
688	3849	1737
689	3850	1730
690	3851	1722
691	3852	1714
692	3853	1707
693	3854	1699
694	3875	1700
695	3876	1693
696	3877	1685
697	3878	1678
698	3879	1670
699	3880	1662
700	3881	1655
701	3882	1648
702	3883	1640
703	3884	1633
704	3885	1625
705	3886	1618
706	3891	1612
707	3892	1605
708	3893	1598
709	3894	1590
710	3895	1583
711	3896	1576
712	3897	1568
713	3898	1561
714	3899	1554
715	3900	1547
716	3901	1539
717	3901	1532
718	3902	1525
719	3903	1518
720	3904	1511
721	3913	1507
722	3915	1499
723	3916	1492
724	3917	1485
725	3917	1478
726	3918	1471
727	3919	1464
728	3920	1457
729	3921	1450
730	3922	1443
731	3923	1436
732	3924	1429
733	3925	1422
734	3926	1415
735	3927	1408
736	3928	1401
737	3929	1394
738	3930	1388
739	3932	1381
740	3933	1374
741	3934	1368
742	3935	1361
743	3936	1354
744	3937	1347
745	3938	1341
746	3948	1337
747	3949	1330
748	3950	1323
749	3951	1317
750	3952	1310
751	3953	1303
752	3954	1297
753	3955	1290
754	3956	1283
755	3965	1279
756	3966	1273
757	3967	1266
758	3968	1259
759	3968	1253
760	3969	1246
761	3970	1240
762	3971	1233
763	3972	1227
764	3973	1220
765	3975	1214
766	3976	1208
767	3977	1201
768	3978	1195
769	3979	1188
770	3979	1182
771	3982	1176
772	3993	1172
773	3994	1166
774	3995	1159
775	3996	1153
776	3997	1147
777	4008	1143
778	4008	1137
779	4009	1130
780	4010	1124
781	4012	1118
782	4013	1112
783	4018	1107
784	4018	1100
785	4019	1094
786	4020	1088
787	4029	1084
788	4030	1077
789	4031	1071
790	4032	1065
791	4032	1059
792	4037	1054
793	4038	1047
794	4039	1041
795	4040	1035
796	4041	1029
797	4042	1023
798	4042	1017
799	4043	1010
800	4056	1007
801	4057	1001
802	4058	995
803	4058	989
804	4059	983
805	4068	979
806	4069	973
807	4070	967
808	4071	961
809	4080	957
810	4081	951
811	4081	945
812	4082	939
813	4091	934
814	4092	928
815	4093	922
816	4094	917
817	4094	911
818	4095	905
819	4096	899
820	4097	893
821	4097	887
822	4109	883
823	4110	877
824	4111	872
825	4112	866
826	4112	860
827	4113	854
828	4122	850
829	4123	844
830	4124	838
831	4125	832
832	4126	827
833	4126	821
834	4141	818
835	4142	812
836	4143	806
837	4144	801
838	4144	795
839	4145	789
840	4146	783
841	4147	778
842	4148	772
843	4148	766
844	4149	761
845	4150	755
846	4165	752
847	4165	746
848	4166	741
849	4167	735
850	4172	730
851	4173	724
852	4173	719
853	4174	713
854	4175	708
855	4176	702
856	4177	697
857	4178	691
858	4178	685
859	4183	681
860	4184	675
861	4185	670
862	4186	664
863	4191	659
864	4192	654
865	4192	648
866	4193	643
867	4194	637
868	4195	632
869	4196	626
870	4202	622
871	4203	617
872	4204	611
873	4204	606
874	4205	600
875	4214	596
876	4215	591
877	4216	585
878	4217	580
879	4217	575
880	4218	569
881	4219	564
882	4220	559
883	4221	553
884	4221	548
885	4222	543
886	4223	538
887	4233	533
888	4233	528
889	4234	523
890	4235	518
891	4240	513
892	4241	508
893	4242	502
894	4242	497
895	4243	492
896	4260	489
897	4261	484
898	4262	478
899	4262	473
900	4263	468
901	4264	463
902	4265	458
903	4266	453
904	4267	447
905	4268	442
906	4269	437
907	4269	432
908	4271	427
909	4271	422
910	4272	417
911	4273	412
912	4274	407
913	4275	402
914	4276	397
915	4277	392
916	4278	387
917	4278	382
918	4279	377
919	4280	372
920	4281	367
921	4290	362
922	4291	357
923	4292	353
924	4292	348
925	4298	343
926	4299	338
927	4300	333
928	4301	328
929	4305	324
930	4306	319
931	4307	314
932	4307	309
933	4312	304
934	4314	299
935	4315	295
936	4316	290
937	4317	285
938	4317	280
939	4318	275
940	4326	271
941	4327	266
942	4327	261
943	4328	256
944	4329	251
945	4355	248
946	4356	243
947	4357	239
948	4358	234
949	4359	229
950	4360	224
951	4361	219
952	4362	215
953	4363	210
954	4363	205
955	4364	200
956	4382	196
957	4382	192
958	4383	187
959	4384	182
960	4392	178
961	4393	173
962	4394	168
963	4395	164
964	4396	159
965	4414	155
966	4415	150
967	4416	145
968	4416	141
969	4417	136
970	4418	131
971	4419	127
972	4420	122
973	4424	118
974	4425	113
975	4425	108
976	4426	104
977	4435	99
978	4436	95
979	4437	90
980	4438	85
981	4438	81
982	4439	76
983	4440	72
984	4441	67
985	4442	63
986	4469	58
987	4486	54
988	4487	49
989	4487	45
990	4488	40
991	4489	36
992	4501	31
993	4502	27
994	4503	22
995	4504	18
996	4506	13
997	4507	9
998	4507	4
999	4508	0
